Model;Name;MAC;Session (UTC);Role;Round;Timestamp;Freq (Hz);Box Temp (℃);Sequence #
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:57.078061;2.65;23.23;1169
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:58.102748;2.66;23.15;1170
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:18:59.125414;2.66;23.17;1171
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:00.150357;2.65;23.21;1172
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:01.175347;2.64;23.19;1173
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:02.198899;2.65;23.17;1174
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:03.119423;2.66;23.19;1175
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:04.144039;2.65;23.17;1176
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:05.167563;2.65;23.17;1177
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:09.598229;2.65;23.19;1178
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:10.621402;2.65;23.19;1179
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:11.645171;2.65;23.15;1180
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:12.668793;2.69;23.19;1181
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:13.693193;2.69;23.19;1182
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:14.614952;2.66;23.21;1183
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:16.662861;2.66;23.19;1185
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:17.686905;2.65;23.19;1186
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:18.710533;2.65;23.17;1187
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:19.632899;2.66;23.17;1188
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:20.758762;2.65;23.17;1189
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:21.782739;2.65;23.19;1190
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:22.584178;2.933;24.85;190
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:22.632234;2.926;24.85;191
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:22.705010;2.69;23.19;1191
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:23.288115;2.929;24.83;192
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:23.592134;2.921;24.89;193
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:24.200126;2.931;24.89;194
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:24.712166;2.892;24.85;195
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:24.751987;2.65;23.21;1193
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:25.016216;2.931;24.83;196
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:25.320130;2.928;24.85;197
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:25.720174;2.928;24.85;198
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:26.024131;2.931;24.85;199
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:26.424169;2.933;24.85;200
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:26.728181;2.931;24.85;201
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:27.031135;2.922;24.85;202
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:27.607184;2.922;24.89;204
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:28.135126;2.938;24.89;205
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:28.439115;2.931;24.89;206
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:28.743138;2.929;24.89;207
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:28.848446;2.66;23.19;1197
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:29.159229;2.933;24.89;208
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:29.463130;2.929;24.85;209
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:29.863147;2.936;24.85;210
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:30.167116;2.922;24.85;211
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:30.471103;2.941;24.85;212
TESS-W;stars237;5C:CF:7F:76:69:E3;2025-11-20 11:18:15;test;1;2025-11-20 11:19:30.793644;2.65;23.19;1199
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:30.871207;2.934;24.89;213
TESS-W;stars3;18:FE:34:CF:E9:A3;2025-11-20 11:18:15;ref;1;2025-11-20 11:19:31.175199;2.926;24.85;214
